Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
16-12-2021,48900.46484,49425.57422,47529.87891,47665.42578,47665.42578,27268150947.00,48379.75391,49473.95703,46671.96484
17-12-2021,47653.73047,48004.89453,45618.21484,46202.14453,46202.14453,32902725329.00,48900.46484,49425.57422,47529.87891
18-12-2021,46219.25391,47313.82813,45598.44141,46848.77734,46848.77734,26098292690.00,47653.73047,48004.89453,45618.21484
19-12-2021,46853.86719,48089.66406,46502.95313,46707.01563,46707.01563,25154053861.00,46219.25391,47313.82813,45598.44141
20-12-2021,46707.0625,47401.71875,45579.80859,46880.27734,46880.27734,30961902129.00,46853.86719,48089.66406,46502.95313
21-12-2021,46886.07813,49300.91797,46698.77344,48936.61328,48936.61328,27055803928.00,46707.0625,47401.71875,45579.80859
22-12-2021,48937.09766,49544.79688,48450.94141,48628.51172,48628.51172,24447979559.00,46886.07813,49300.91797,46698.77344
23-12-2021,48626.34375,51332.33984,48065.83594,50784.53906,50784.53906,28223878108.00,48937.09766,49544.79688,48450.94141
24-12-2021,50806.05078,51814.02734,50514.49609,50822.19531,50822.19531,24367912228.00,48626.34375,51332.33984,48065.83594
25-12-2021,50854.91797,51176.59766,50236.70703,50429.85938,50429.85938,19030650914.00,50806.05078,51814.02734,50514.49609
26-12-2021,50428.69141,51196.37891,49623.10547,50809.51563,50809.51563,20964372926.00,50854.91797,51176.59766,50236.70703
27-12-2021,50802.60938,51956.32813,50499.46875,50640.41797,50640.41797,24324345758.00,50428.69141,51196.37891,49623.10547
28-12-2021,50679.85938,50679.85938,47414.21094,47588.85547,47588.85547,33430376883.00,50802.60938,51956.32813,50499.46875
29-12-2021,47623.87109,48119.74219,46201.49609,46444.71094,46444.71094,30049226299.00,50679.85938,50679.85938,47414.21094
30-12-2021,46490.60547,47879.96484,46060.3125,47178.125,47178.125,26686491018.00,47623.87109,48119.74219,46201.49609
31-12-2021,47169.37109,48472.52734,45819.95313,46306.44531,46306.44531,36974172400.00,46490.60547,47879.96484,46060.3125
01-01-2022,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004.00,47169.37109,48472.52734,45819.95313
02-01-2022,47680.92578,47881.40625,46856.9375,47345.21875,47345.21875,27951569547.00,46311.74609,47827.3125,46288.48438
03-01-2022,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362.00,47680.92578,47881.40625,46856.9375
04-01-2022,46458.85156,47406.54688,45752.46484,45897.57422,45897.57422,42494677905.00,47343.54297,47510.72656,45835.96484
05-01-2022,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859.00,46458.85156,47406.54688,45752.46484
06-01-2022,43565.51172,43748.71875,42645.53906,43160.92969,43160.92969,30208048289.00,45899.35938,46929.04688,42798.22266
07-01-2022,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520.00,43565.51172,43748.71875,42645.53906
08-01-2022,41561.46484,42228.94141,40672.27734,41733.94141,41733.94141,28066355845.00,43153.57031,43153.57031,41077.44531
09-01-2022,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372.00,41561.46484,42228.94141,40672.27734
10-01-2022,41910.23047,42199.48438,39796.57031,41821.26172,41821.26172,32104232331.00,41734.72656,42663.94922,41338.16016
11-01-2022,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900.00,41910.23047,42199.48438,39796.57031
